id,nama,email,no_hp,tanggal_daftar,status
848,WAWAN HAMZAH,wawan_hamz@gmail.com,08879662519,13/02/25,BANNED
849,hani Pangestu,hani849@mail.com,08917151861,23/06/25,aktive
851,Bella Heryani,bella_hery@gmail.com,08870813477,16/03/2025,baned
852,MILA SYAHPUTRA,m.syahputra@gmail.com,08042947640,01/06/24,banned
853,Bella Puspita,b.puspita@outlook.com,08280047589,26-11-2024,Active
854,Zaki Pratama,zaki.pratama@hotmail.com,08283130430,06/10/24,inactive
855,Fajar Nugraha,f.nugraha@yahoo.com,08635056705,07-09-2024,inactive
856,Salsa Aulia,salsa856@gmail.com,08371588664,04/11/24,banned
857,Galih Siregar,galih_sire@yahoo.com,08546462508,10-03-25,active
859,Maman Wibowo,m.wibowo@mail.com,08412057946,2024-07-05,INACTIVE
861,Qori Puspita,qori.pus61@outlook.com,08059551714,2024-12-09,banned
862,QORI SAPUTRA,qori.saputra@outlook.com,08374873320,17-06-25,actve
863,Indra Handayani,i.handayani@mail.com,08615088392,02/09/24,ACTIVE
864,Candra Firmansyah,c.firmansyah@outlook.com,08205921624,2024-07-28,inactive
865,Hani Yuliana,hani.yuliana@hotmail.com,08696748084,26/06/24,active
866,ANI LESTARI,ani866@hotmail.com,08349940974,26/02/2025,aktive
868,Intan Yuliana,intan.yuliana@hotmail.com,08170924719,06-02-25,inactive
870,HANI HAKIM,h.hakim@outlook.com,08684575662,10-12-2024,BANNED
871,Ani Maharani,ani.maharani@mail.com,08074760965,08-07-2024,aktive
872,Budi Handayani,budi872@yahoo.com,08249134090,15/01/25,BANNED
873,Intan Pangestu,intan.pan73@yahoo.com,08840007581,17/10/24,baned
874,Joko Yuliana,joko874@outlook.com,08791762485,2024-12-06,Active
875,Cici Kurniawan,cici_kurn@outlook.com,08753227432,2024-06-13,active
876,Hendra Kusuma,hendra876@gmail.com,08968421614,2024-08-26,actve
877,Salsa Syahputra,salsa877@hotmail.com,08229552744,30/07/2024,inactve
879,Fitri Setiadi,fitri_seti@yahoo.com,08464543107,16-06-25,inactive
881,Nina Putri,nina.put81@gmail.com,08478586020,2024-11-06,actve
882,Putri Setiadi,putri882@outlook.com,08274270036,01/06/25,Active
883,Rian Pratama,rian.pra83@yahoo.com,08075621822,28/08/2024,active
885,Maman Maharani,maman_maha@outlook.com,08117405269,25/07/2024,ACTIVE
886,intan setiadi,intan_seti@hotmail.com,08948920118,2025-04-21,actve
887,Umar Pratama,umar.pratama@outlook.com,08403427041,22/10/24,ACTIVE
888,Umar Firmansyah,umar888@outlook.com,08028790532,31-03-2025,inactve
889,Rian Syahputra,rian889@gmail.com,08692177751,05-03-25,inactve
890,Lina Saputra,l.saputra@outlook.com,08211940719,11/06/2025,BANNED
892,candra Handayani,c.handayani@gmail.com,08273049433,09/02/25,BANNED
893,DEDI PUTRI,dedi.put93@hotmail.com,08978604248,10-05-25,aktive
894,Putri Nugraha,p.nugraha@gmail.com,08766779471,02/06/24,INACTIVE
895,Mila Heryani,mila.her95@hotmail.com,08647413055,23/06/2024,actve
896,Budi Lestari,budi.les96@gmail.com,08442728388,18-10-24,active
897,Lukman Handayani,lukman_hand@mail.com,08548653511,19-05-25,active
898,Gani Handayani,g.handayani@mail.com,08816746353,02-07-25,banned
899,CICI FIRMANSYAH,cici.firmansyah@gmail.com,08931481660,03-06-2025,inactve
900,Dian Wibowo,d.wibowo@mail.com,08760007402,01/10/2024,BANNED
903,Fitri Firmansyah,fitri_firm@yahoo.com,08797759186,2025-01-28,BANNED
904,intan gunawan,i.gunawan@hotmail.com,08687122476,03-07-2024,aktive
905,budi Maharani,budi_maha@gmail.com,08267670888,14/03/2025,INACTIVE
906,gani maulana,gani_maul@yahoo.com,08888056298,25/04/2025,Active
907,ZAKI KUSUMA,zaki.kus7@outlook.com,08338998823,2024-12-15,inactive
908,Umar Wibowo,umar.wib8@outlook.com,08147070468,01/08/24,actve
909,joko hamzah,j.hamzah@hotmail.com,08079399081,21-07-2024,BANNED
910,Nina Wijaya,nina.wijaya@mail.com,08561653320,18/02/2025,banned
911,Fajar Kurniawan,fajar.kur11@gmail.com,08719414715,28-04-25,active
912,Vina Putri,v.putri@hotmail.com,08532843509,19-09-2024,inactive
914,Indra Maulana,indra914@hotmail.com,08495825589,10-03-2025,baned
915,asep Heryani,asep_hery@yahoo.com,08421985083,30-08-2024,Active
916,NINA HAMZAH,nina.hamzah@mail.com,08348784794,21-09-2024,aktive
917,dedi santoso,d.santoso@mail.com,08911464409,24/08/24,aktive
919,Kiki Gunawan,kiki.gun19@yahoo.com,08942212277,10/12/2024,active
920,Nando Maulana,nando.maulana@hotmail.com,08781038627,20/09/2024,ACTIVE
921,Vina Pratama,vina921@outlook.com,08522287089,12-06-24,BANNED
922,MILA KURNIAWAN,mila_kurn@hotmail.com,08976265593,26/05/2025,BANNED
923,Hani Saputra,hani_sapu@yahoo.com,08757281114,30/03/2025,BANNED
925,Bella Permana,bella_perm@outlook.com,08258937768,20/03/25,BANNED
926,nando pratama,n.pratama@hotmail.com,08018335000,20-06-2024,inactive
927,Dedi Pangestu,dedi.pan27@gmail.com,08033287957,2024-06-22,inactive
928,teguh Hakim,teguh.hak28@gmail.com,08478280882,27/01/25,inactive
929,Galih Santoso,galih_sant@mail.com,08272324886,31/10/24,actve
930,Yani Nugraha,yani930@mail.com,08300813536,18/06/2024,ACTIVE
931,Nando Hamzah,nando_hamz@outlook.com,08656813942,22/01/2025,Active
932,bella kurniawan,bella.kur32@mail.com,08776004796,21/10/24,BANNED
933,asep Maulana,asep.maulana@mail.com,08416117138,06-03-25,ACTIVE
934,MILA KUSUMA,mila934@gmail.com,08370661985,2025-06-02,inactve
936,Maman Pangestu,maman.pan36@hotmail.com,08626366753,07-12-2024,banned
937,Eka Saputra,eka.saputra@outlook.com,08258752462,12/08/24,ACTIVE
938,Mila Kurniawan,mila.kur38@hotmail.com,08044518184,2024-07-08,inactive
939,kiki lestari,kiki.les39@hotmail.com,08401719274,19-11-2024,ACTIVE
940,SALSA WIJAYA,salsa_wija@outlook.com,08245106690,21/06/2024,ACTIVE
941,Oki Wibowo,o.wibowo@yahoo.com,08976694187,2024-11-10,BANNED
942,budi hamzah,budi_hamz@yahoo.com,08162333480,16/05/2025,INACTIVE
943,Ani Rahmawati,ani.rah43@gmail.com,08049930433,24-08-24,inactive
944,ani santoso,a.santoso@gmail.com,08501064288,06/01/2025,INACTIVE
945,Dian Aditya,dian_adit@mail.com,08966386800,18/06/2024,banned
947,Bella Hamzah,bella.hamzah@outlook.com,08154385455,15/06/2024,INACTIVE
948,Lukman Aditya,l.aditya@yahoo.com,08953128795,30/03/25,aktive
949,Candra Hakim,candra_haki@mail.com,08231414559,17-06-2025,aktive
950,Mila Nugraha,mila_nugr@yahoo.com,08186687733,23-04-2025,inactve
951,Vina Pratama,vina_prat@gmail.com,08543871763,04-05-2025,inactive
954,Rian Lestari,rian_lest@mail.com,08048806248,12-04-25,actve
955,fitri pangestu,fitri.pan55@mail.com,08794989053,04-03-2025,banned
956,Teguh Saputra,teguh.sap56@gmail.com,08297601338,2025-01-26,BANNED
958,LINA MAHARANI,l.maharani@outlook.com,08279394508,22-03-25,Active
959,Gani Pratama,gani_prat@gmail.com,08603790435,21/05/25,active
960,ASEP WIJAYA,asep960@mail.com,08321034126,22/11/24,INACTIVE
961,Galih Maulana,galih_maul@yahoo.com,08302936403,13-12-2024,baned
962,Joko Pangestu,joko.pan62@yahoo.com,08846026142,03/02/25,baned
963,Galih Firmansyah,g.firmansyah@hotmail.com,08701906600,2025-06-03,inactive
964,Salsa Aditya,s.aditya@hotmail.com,08459104040,28/05/24,active
965,yani Maharani,y.maharani@mail.com,08026288902,02-03-2025,ACTIVE
966,Hendra Hakim,hendra966@yahoo.com,08004265049,03-01-2025,baned
967,Qori Syahputra,qori_syah@outlook.com,08718357017,27/03/2025,inactive
970,kartika maharani,kartika.mah70@outlook.com,08051114843,05/10/2024,inactve
971,INTAN SYAHPUTRA,intan_syah@hotmail.com,08520075134,28-08-24,aktive
972,salsa hamzah,salsa.ham72@mail.com,08070022548,27-04-25,banned
973,Intan Rahmawati,intan.rahmawati@mail.com,08488739077,2024-08-06,actve
974,Kiki Saputra,kiki.sap74@mail.com,08946339558,25/02/25,inactve
975,asep handayani,a.handayani@hotmail.com,08621277025,2024-05-31,aktive
976,Okta Puspita,o.puspita@gmail.com,08704418314,2024-09-15,inactve
977,dedi Gunawan,dedi977@yahoo.com,08677616507,2025-06-13,baned
978,jihan Putri,jihan978@outlook.com,08890144703,29/11/24,banned
980,Galih Ramadhani,g.ramadhani@mail.com,08438025115,17/11/24,ACTIVE
981,gani Nugraha,gani981@gmail.com,08581863525,2024-07-24,banned
982,TEGUH PRATAMA,t.pratama@gmail.com,08605777369,06/07/25,actve
983,Joko Firmansyah,j.firmansyah@outlook.com,08872070377,25-10-2024,BANNED
984,Ani Pratama,ani_prat@mail.com,08416271827,27-09-2024,BANNED
985,Kartika Kusuma,kartika.kusuma@outlook.com,08343190200,05-10-24,active
987,hendra puspita,hendra_pusp@yahoo.com,08807415735,04-10-2024,Active
988,Oki Aulia,oki.aulia@hotmail.com,08277418585,05/07/25,Active
989,Indra Putri,indra.put89@gmail.com,08282784604,17-12-2024,baned
991,Lukman Aulia,lukman991@gmail.com,08665023253,05-10-24,actve
992,Intan Pangestu,intan992@gmail.com,08373688527,02-05-2025,active
993,Lukman Putri,lukman_putr@gmail.com,08019580346,23-09-2024,aktive
994,Umar Kusuma,umar.kusuma@outlook.com,08499577984,2024-12-18,banned
995,Qori Pratama,qori.pratama@outlook.com,08622656012,29/12/24,BANNED
996,Indra Nugraha,indra.nug96@gmail.com,08666534063,05-01-2025,inactve
997,Indra Setiadi,i.setiadi@outlook.com,08077193834,16/08/2024,inactive
998,Kartika Maulana,k.maulana@yahoo.com,08534128291,03/06/2024,inactive
999,Ani Kurniawan,ani.kurniawan@hotmail.com,08112973728,25-07-2024,INACTIVE
1000,Eka Pratama,eka1000@mail.com,08550679428,12-09-2024,active
